Member_number,Date,itemDescription,Cost,Date_Numeric_value
4667,04-Sep-14,rolls/buns,1,41886
4504,08-Mar-14,onions,3,41706
1328,06-Jun-14,other vegetables,5,41796
1442,28-Feb-14,pip fruit,3,41698
4269,29-Jun-14,butter milk,1.65,41819
4722,12-Feb-14,hamburger meat,5,41682
3151,13-Oct-14,rolls/buns,1,41925
4371,02-Jun-14,chocolate,5,41792
2068,22-Aug-14,whole milk,2,41873
4353,02-Sep-14,rolls/buns,1,41884
3851,03-Aug-14,other vegetables,5,41854
4743,15-May-14,soda,6,41774
4083,15-Aug-14,newspapers,2,41866
1125,09-Dec-14,rolls/buns,1,41982
2293,31-May-14,pork,8,41790
3365,17-Oct-14,meat,20,41929
2341,12-Sep-14,Instant food products,16,41894
3115,26-May-14,frozen vegetables,10,41785
4044,30-Jun-14,coffee,15,41820
1609,07-Jul-14,pickled vegetables,14,41827
1413,14-Jul-14,ham,10,41834
1469,28-Aug-14,coffee,15,41879
3546,09-Sep-14,bottled beer,30,41891
1752,13-Apr-14,pip fruit,3,41742
2836,20-Oct-14,tropical fruit,4,41932
1244,07-Sep-14,UHT-milk,8,41889
4183,20-Nov-14,root vegetables,7,41963
1492,05-Nov-14,butter,1.5,41948
2255,17-Jul-14,curd,3,41837
4525,13-Nov-14,whole milk,2,41956
2726,17-Sep-14,house keeping products,10,41899
1686,15-May-14,brown bread,0.8,41774
3808,05-Mar-14,UHT-milk,8,41703
3905,06-Oct-14,soda,6,41918
4523,01-Sep-14,specialty chocolate,20,41883
1770,14-Sep-14,rolls/buns,1,41896
1609,05-Mar-14,whole milk,2,41703
3678,21-Jun-14,yogurt,1.65,41811
4341,29-Mar-14,rolls/buns,1,41727
2758,18-May-14,frozen meals,5,41777
2867,09-May-14,other vegetables,5,41768
3329,28-Aug-14,whole milk,2,41879
2966,26-Nov-14,pork,8,41969
4345,16-Jul-14,citrus fruit,3,41836
2960,27-Oct-14,whipped/sour cream,7,41939
1247,08-Jun-14,butter,1.5,41798
2770,29-Aug-14,soda,6,41880
2914,09-Oct-14,yogurt,1.65,41921
3802,08-Jun-14,specialty chocolate,20,41798
2519,15-Apr-14,specialty bar,3,41744
3933,12-Jul-14,waffles,6,41832
4291,18-May-14,root vegetables,7,41777
3998,11-Aug-14,yogurt,1.65,41862
2395,04-Jun-14,tropical fruit,4,41794
1602,17-Dec-14,other vegetables,5,41990
1659,01-Jan-14,specialty chocolate,20,41640
3904,24-Sep-14,beef,7,41906
1493,22-Oct-14,liquor,18,41934
1840,07-Oct-14,tropical fruit,4,41919
4178,05-Oct-14,soda,6,41917
2165,27-Oct-14,root vegetables,7,41939
4618,11-Jan-14,brown bread,0.8,41650
2093,16-Feb-14,whipped/sour cream,7,41686
2215,21-Mar-14,bottled beer,30,41719
4779,29-Jan-14,root vegetables,7,41668
1939,02-Feb-14,rolls/buns,1,41672
4852,11-Feb-14,brown bread,0.8,41681
1173,18-Apr-14,rolls/buns,1,41747
4232,10-Jun-14,whole milk,2,41800
1870,15-Jul-14,whole milk,2,41835
2683,04-Apr-14,beverages,35,41733
2837,26-Jun-14,frozen dessert,7,41816
4364,24-Sep-14,coffee,15,41906
1842,03-Nov-14,root vegetables,7,41946
2036,27-Aug-14,ice cream,15,41878
1235,14-Jun-14,canned beer,3.5,41804
1935,17-Jul-14,newspapers,2,41837
3480,18-Apr-14,other vegetables,5,41747
2881,06-Mar-14,domestic eggs,4,41704
1237,16-Oct-14,beverages,35,41928
1755,19-Jan-14,whole milk,2,41658
4830,23-Dec-14,whole milk,2,41996
2162,25-May-14,whole milk,2,41784
1453,21-Nov-14,hygiene articles,4,41964
2139,13-Apr-14,margarine,5,41742
3987,31-Aug-14,ham,10,41882
3027,14-Oct-14,fruit/vegetable juice,10,41926
1241,11-Jan-14,whole milk,2,41650
1018,15-Apr-14,beverages,35,41744
1390,04-Sep-14,butter,1.5,41886
1646,15-Nov-14,beverages,35,41958
1053,10-Dec-14,other vegetables,5,41983
1566,28-Jun-14,other vegetables,5,41818
4390,15-Nov-14,margarine,5,41958
4779,24-Jun-14,specialty chocolate,20,41814
4294,22-Jul-14,rolls/buns,1,41842
2939,02-Nov-14,bottled water,2,41945
1465,26-Sep-14,pastry,5,41908
1934,14-Jun-14,pip fruit,3,41804
2946,14-Sep-14,cream cheese ,18,41896
3643,26-Sep-14,male cosmetics,20,41908
3722,01-Aug-14,syrup,5,41852
4515,16-Apr-14,yogurt,1.65,41745
4572,27-Jun-14,cat food,8,41817
4398,17-Aug-14,curd,3,41868
3369,24-Jan-14,specialty bar,3,41663
1738,01-Oct-14,yogurt,1.65,41913
1283,22-May-14,pork,8,41781
1116,27-Sep-14,brown bread,0.8,41909
4136,16-Mar-14,root vegetables,7,41714
1066,15-May-14,whole milk,2,41774
2234,13-Apr-14,newspapers,2,41742
1509,09-Jul-14,butter milk,1.65,41829
4985,31-May-14,whole milk,2,41790
4989,11-Aug-14,rolls/buns,1,41862
3482,24-Jul-14,brown bread,0.8,41844
3220,02-Jan-14,canned beer,3.5,41641
1594,28-May-14,specialty bar,3,41787
4739,04-Dec-14,onions,3,41977
2107,30-Dec-14,pip fruit,3,42003
2543,18-Nov-14,softener,10,41961
3652,15-Nov-14,frozen potato products,2,41958
2164,05-Feb-14,whole milk,2,41675
4420,27-Oct-14,coffee,15,41939
1333,15-Jul-14,UHT-milk,8,41835
1055,05-Aug-14,pork,8,41856
2792,28-Jul-14,pastry,5,41848
2139,10-Feb-14,other vegetables,5,41680
4174,18-Oct-14,whole milk,2,41930
1073,21-Mar-14,brown bread,0.8,41719
3115,18-Jul-14,sugar,15,41838
4243,15-Jan-14,napkins,5,41654
2515,12-Dec-14,bottled water,2,41985
4214,10-Jul-14,yogurt,1.65,41830
4093,08-Sep-14,citrus fruit,3,41890
1317,19-May-14,sausage,1.49,41778
4061,03-May-14,whole milk,2,41762
1087,11-Dec-14,coffee,15,41984
4709,09-Mar-14,beef,7,41707
3670,08-May-14,grapes,7,41767
3713,22-Jan-14,tropical fruit,4,41661
4897,14-Sep-14,hamburger meat,5,41896
1361,07-Dec-14,whole milk,2,41980
4939,17-Sep-14,margarine,5,41899
4150,17-Aug-14,root vegetables,7,41868
4368,20-Feb-14,salty snack,5,41690
4933,28-Nov-14,UHT-milk,8,41971
1160,04-Feb-14,yogurt,1.65,41674
2330,08-Oct-14,whole milk,2,41920
3945,25-Jan-14,pip fruit,3,41664
1237,25-Jan-14,butter milk,1.65,41664
4302,26-Nov-14,specialty bar,3,41969
4020,01-Dec-14,whole milk,2,41974
1084,18-Apr-14,pip fruit,3,41747
1047,17-Dec-14,pip fruit,3,41990
1574,04-Mar-14,white bread,0.4,41702
4074,14-Nov-14,herbs,7,41957
1955,22-Jun-14,soda,6,41812
1622,24-Jun-14,whole milk,2,41814
1267,15-May-14,butter,1.5,41774
3253,26-Jun-14,whole milk,2,41816
2332,16-Jan-14,rolls/buns,1,41655
3181,25-Apr-14,pastry,5,41754
4374,18-Aug-14,newspapers,2,41869
4194,25-Dec-14,frozen vegetables,10,41998
4098,12-Sep-14,tropical fruit,4,41894
3808,28-Mar-14,whipped/sour cream,7,41726
3014,20-Dec-14,tropical fruit,4,41993
1094,11-Mar-14,whole milk,2,41709
4349,29-Jan-14,rolls/buns,1,41668
1557,10-Dec-14,domestic eggs,4,41983
4213,28-Apr-14,other vegetables,5,41757
2559,07-Jul-14,other vegetables,5,41827
1312,13-Dec-14,hamburger meat,5,41986
3426,21-Oct-14,hard cheese,14,41933
1648,31-Oct-14,grapes,7,41943
2617,16-Nov-14,ham,10,41959
4297,04-Aug-14,margarine,5,41855
2406,25-Sep-14,butter,1.5,41907
3030,19-Nov-14,rolls/buns,1,41962
2662,03-Aug-14,sausage,1.49,41854
3835,25-Apr-14,soda,6,41754
4633,13-Feb-14,onions,3,41683
3970,02-Nov-14,berries,6.5,41945
1723,02-Sep-14,citrus fruit,3,41884
2893,02-Nov-14,hard cheese,14,41945
4223,15-Jun-14,whole milk,2,41805
2221,21-Jun-14,beef,7,41811
1257,19-May-14,frozen dessert,7,41778
3825,27-Jan-14,cream cheese ,18,41666
2613,24-May-14,domestic eggs,4,41783
3498,01-Jul-14,pip fruit,3,41821
4258,24-Jun-14,sausage,1.49,41814
3081,14-Apr-14,tropical fruit,4,41743
3965,16-Oct-14,sausage,1.49,41928
4850,26-Mar-14,red/blush wine,10,41724
3437,25-Apr-14,soda,6,41754
1573,20-Apr-14,tropical fruit,4,41749
1169,02-May-14,soda,6,41761
4987,27-Jul-14,rolls/buns,1,41847
3011,16-Aug-14,whipped/sour cream,7,41867
2522,26-May-14,pasta,10,41785
4801,03-Oct-14,misc. beverages,20,41915
1509,28-May-14,citrus fruit,3,41787
1889,01-Nov-14,whole milk,2,41944
2450,29-Nov-14,meat,20,41972
1807,20-Aug-14,finished products,30,41871
4720,14-Aug-14,rolls/buns,1,41865
1310,13-Apr-14,hard cheese,14,41742
1339,03-Jan-14,other vegetables,5,41642
1256,07-Nov-14,berries,6.5,41950
4601,10-Feb-14,other vegetables,5,41680
1800,30-Aug-14,whole milk,2,41881
4679,23-Jan-14,beef,7,41662
1650,27-Jun-14,cream cheese ,18,41817
2360,26-Jul-14,tropical fruit,4,41846
2874,09-Sep-15,butter,1.5,42256
3556,30-Sep-15,root vegetables,7,42277
3255,24-May-15,root vegetables,7,42148
2521,14-Dec-15,hard cheese,14,42352
3220,14-Oct-15,finished products,30,42291
1381,06-Mar-15,soda,6,42069
4050,06-Jul-15,butter,1.5,42191
1872,29-Jan-15,whole milk,2,42033
4127,11-Apr-15,butter,1.5,42105
2833,14-Aug-15,beef,7,42230
2357,23-Sep-15,shopping bags,0.8,42270
2654,03-Mar-15,root vegetables,7,42066
4852,28-Apr-15,spread cheese,8,42122
2222,21-Jul-15,other vegetables,5,42206
2340,12-Jul-15,berries,6.5,42197
1987,15-Oct-15,pork,8,42292
3570,02-Sep-15,other vegetables,5,42249
1320,19-Jan-15,pip fruit,3,42023
2209,20-Jul-15,tropical fruit,4,42205
2500,30-Mar-15,domestic eggs,4,42093
3315,12-Sep-15,whole milk,2,42259
2548,16-Nov-15,butter,1.5,42324
4473,07-Sep-15,pork,8,42254
2271,16-Jun-15,whole milk,2,42171
4336,10-Oct-15,rolls/buns,1,42287
2763,01-Feb-15,yogurt,1.65,42036
2780,11-Oct-15,other vegetables,5,42288
2632,16-Jan-15,rolls/buns,1,42020
2568,20-Aug-15,sugar,15,42236
1729,23-Jul-15,rolls/buns,1,42208
3878,28-Jul-15,pork,8,42213
1225,26-Mar-15,sliced cheese,4,42089
1924,17-Nov-15,rolls/buns,1,42325
4335,10-Jun-15,other vegetables,5,42165
3182,12-Mar-15,processed cheese,12,42075
4303,23-Aug-15,whole milk,2,42239
3042,02-Oct-15,canned beer,3.5,42279
4493,29-Oct-15,other vegetables,5,42306
4194,07-Feb-15,cream cheese ,18,42042
3031,18-Dec-15,fruit/vegetable juice,10,42356
3891,03-Jul-15,chicken,6,42188
1062,16-Apr-15,whole milk,2,42110
2469,23-Mar-15,rolls/buns,1,42086
3719,03-Sep-15,butter,1.5,42250
3322,11-Feb-15,fruit/vegetable juice,10,42046
1336,10-Mar-15,flour,20,42073
1067,20-Jul-15,tropical fruit,4,42205
1998,15-May-15,citrus fruit,3,42139
1076,14-Oct-15,whole milk,2,42291
1992,02-Aug-15,seasonal products,14,42218
1261,21-May-15,hard cheese,14,42145
4409,15-Jan-15,brown bread,0.8,42019
3031,30-Aug-15,bottled beer,30,42246
2129,18-Mar-15,pip fruit,3,42081
1684,03-Jan-15,whole milk,2,42007
4240,18-Sep-15,rolls/buns,1,42265
2750,14-Sep-15,whole milk,2,42261
1379,13-Jul-15,domestic eggs,4,42198
4243,22-Aug-15,root vegetables,7,42238
2469,12-Jan-15,pork,8,42016
2346,17-Sep-15,whole milk,2,42264
2366,18-Aug-15,yogurt,1.65,42234
2374,23-Jun-15,ham,10,42178
1721,15-Oct-15,rolls/buns,1,42292
2877,10-Apr-15,tropical fruit,4,42104
3848,11-Oct-15,butter,1.5,42288
4344,01-Mar-15,frozen meals,5,42064
3475,10-Jun-15,brown bread,0.8,42165
3650,17-Jul-15,curd,3,42202
2318,16-Jan-15,citrus fruit,3,42020
1776,02-Mar-15,grapes,7,42065
3120,07-Jul-15,berries,6.5,42192
1194,13-May-15,coffee,15,42137
2089,17-Apr-15,grapes,7,42111
2095,06-Apr-15,frozen meals,5,42100
1736,29-Aug-15,pickled vegetables,14,42245
3718,12-Jul-15,root vegetables,7,42197
4950,22-Apr-15,instant coffee,8,42116
2481,24-Nov-15,berries,6.5,42332
1296,06-Nov-15,root vegetables,7,42314
2824,07-Dec-15,tropical fruit,4,42345
4852,29-Jun-15,light bulbs,6,42184
1648,27-Feb-15,rolls/buns,1,42062
3307,06-Oct-15,yogurt,1.65,42283
4259,24-Jun-15,soda,6,42179
2587,02-Jun-15,pastry,5,42157
4303,08-Apr-15,specialty chocolate,20,42102
1325,26-May-15,long life bakery product,6,42150
3351,14-Oct-15,pork,8,42291
1623,18-Jan-15,ham,10,42022
3119,20-Feb-15,specialty bar,3,42055
1211,24-May-15,tropical fruit,4,42148
4146,09-Feb-15,packaged fruit/vegetables,5,42044
1753,26-Feb-15,other vegetables,5,42061
4664,26-May-15,root vegetables,7,42150
3827,03-Nov-15,frozen meals,5,42311
1098,27-Sep-15,frozen vegetables,10,42274
4338,27-Aug-15,tropical fruit,4,42243
3712,20-Dec-15,whole milk,2,42358
1505,27-Oct-15,canned beer,3.5,42304
4478,02-Aug-15,whole milk,2,42218
4150,23-Aug-15,brown bread,0.8,42239
1118,25-Dec-15,hair spray,10,42363
2537,07-May-15,other vegetables,5,42131
1996,10-May-15,roll products ,8,42134
4267,13-Sep-15,whole milk,2,42260
4424,16-Oct-15,ketchup,3,42293
1948,06-May-15,pet care,20,42130
3495,01-Feb-15,whole milk,2,42036
2327,18-Mar-15,bottled beer,30,42081
3356,12-Jan-15,whole milk,2,42016
3926,23-Mar-15,yogurt,1.65,42086
4105,03-Dec-15,curd,3,42341
1884,05-Aug-15,frozen potato products,2,42221
4799,09-Feb-15,sliced cheese,4,42044
4915,18-Sep-15,rolls/buns,1,42265
2643,01-Dec-15,coffee,15,42339
3927,03-Sep-15,other vegetables,5,42250
2410,18-Nov-15,hard cheese,14,42326
1855,28-Apr-15,canned beer,3.5,42122
1245,02-Mar-15,condensed milk,1.5,42065
3138,19-Apr-15,brown bread,0.8,42113
1178,19-Apr-15,ice cream,15,42113
1870,05-Sep-15,ice cream,15,42252
4660,10-Jul-15,dishes,6,42195
3241,09-Aug-15,root vegetables,7,42225
4661,18-Apr-15,flower (seeds),17,42112
2407,10-Mar-15,citrus fruit,3,42073
2440,19-Jun-15,bottled beer,30,42174
4634,15-May-15,pork,8,42139
4112,14-Feb-15,curd,3,42049
2428,21-Aug-15,pasta,10,42237
3604,14-Mar-15,root vegetables,7,42077
3671,03-Aug-15,whole milk,2,42219
2880,19-Jun-15,bottled beer,30,42174
3946,19-Jun-15,berries,6.5,42174
4495,20-Jun-15,sliced cheese,4,42175
3355,02-Dec-15,napkins,5,42340
3959,27-May-15,pip fruit,3,42151
1583,23-Nov-15,pip fruit,3,42331
3998,28-Mar-15,hard cheese,14,42091
4509,29-Nov-15,beef,7,42337
1008,03-Oct-15,liquor (appetizer),19,42280
4894,23-Dec-15,liquor,18,42361
4252,10-Apr-15,frozen potato products,2,42104
3428,16-Mar-15,cake bar,10,42079
1988,08-Sep-15,grapes,7,42255
4662,19-Oct-15,other vegetables,5,42296
3165,27-Nov-15,specialty chocolate,20,42335
1920,16-Feb-15,seasonal products,14,42051
4157,04-Jan-15,root vegetables,7,42008
1945,30-Apr-15,whole milk,2,42124
4104,27-Jul-15,whipped/sour cream,7,42212
2865,14-May-15,pork,8,42138
4788,28-Apr-15,butter milk,1.65,42122
1903,25-Jan-15,chicken,6,42029
3578,16-May-15,whole milk,2,42140
2238,06-Dec-15,butter,1.5,42344
3671,11-Oct-15,brown bread,0.8,42288
3088,03-Dec-15,whole milk,2,42341
1832,17-Apr-15,tropical fruit,4,42111
4785,13-Sep-15,tropical fruit,4,42260
1322,19-Oct-15,rolls/buns,1,42296
4439,18-Mar-15,ice cream,15,42081
1698,26-Jun-15,citrus fruit,3,42181
3558,25-Apr-15,soft cheese,8,42119
3026,01-Jan-15,tropical fruit,4,42005
1127,15-Oct-15,butter,1.5,42292
4153,05-Feb-15,hard cheese,14,42040
4258,22-Apr-15,whole milk,2,42116
2582,14-Nov-15,processed cheese,12,42322
1466,01-Dec-15,other vegetables,5,42339
4185,16-Jan-15,curd,3,42020
1889,09-Feb-15,long life bakery product,6,42044
3396,14-May-15,mayonnaise,4,42138
3412,26-Jan-15,other vegetables,5,42030
3321,13-Jul-15,coffee,15,42198
3484,21-Nov-15,whole milk,2,42329
1937,17-Oct-15,canned beer,3.5,42294
2101,20-Dec-15,frozen vegetables,10,42358
4006,18-Dec-15,butter,1.5,42356
3732,18-Jul-15,root vegetables,7,42203
1276,28-Apr-15,whole milk,2,42122
4916,01-Mar-15,hamburger meat,5,42064
2040,06-Apr-15,oil,5,42100
2255,01-May-15,cookware,6,42125
1239,25-Jul-15,yogurt,1.65,42210
4992,20-Jun-15,other vegetables,5,42175
3225,12-Jun-15,other vegetables,5,42167
2421,21-Nov-15,citrus fruit,3,42329
3303,25-Jan-15,citrus fruit,3,42029
3455,13-Sep-15,root vegetables,7,42260
1484,07-Oct-15,soda,6,42284
3591,11-May-15,citrus fruit,3,42135
4613,17-May-15,brown bread,0.8,42141
1676,11-Oct-15,whole milk,2,42288
1259,21-Nov-15,grapes,7,42329
3930,12-Jul-15,root vegetables,7,42197
3995,26-Jun-15,soda,6,42181
1038,14-Dec-15,whipped/sour cream,7,42352
4794,06-Sep-15,rolls/buns,1,42253
3960,21-Sep-15,whole milk,2,42268
3077,05-Jan-15,whole milk,2,42009
1161,14-Mar-15,yogurt,1.65,42077
1800,16-Apr-15,bottled water,2,42110
1717,09-Nov-15,rolls/buns,1,42317
1888,06-Jun-15,beef,7,42161
2138,04-Mar-15,white wine,35,42067
1866,13-Feb-15,specialty chocolate,20,42048
4745,29-Sep-15,rolls/buns,1,42276
1269,12-Sep-15,liquor,18,42259
4721,15-Jun-15,canned beer,3.5,42170
2885,22-Mar-15,whole milk,2,42085
1435,24-Apr-15,yogurt,1.65,42118
1887,03-Feb-15,condensed milk,1.5,42038
4776,26-Mar-15,bottled beer,30,42089
4313,16-May-15,berries,6.5,42140
3545,28-Aug-15,whipped/sour cream,7,42244
2307,12-Mar-15,grapes,7,42075
1215,18-Jan-15,other vegetables,5,42022
1428,18-Jan-15,pip fruit,3,42022
4297,27-Oct-15,citrus fruit,3,42304
1812,14-Oct-15,soft cheese,8,42291
2217,02-Dec-15,tropical fruit,4,42340
2378,15-Apr-15,pork,8,42109
2397,23-Jun-15,pip fruit,3,42178
3419,20-Aug-15,root vegetables,7,42236
4131,29-Mar-15,UHT-milk,8,42092
2220,04-Aug-15,soda,6,42220
3870,21-Mar-15,root vegetables,7,42084
1483,14-Jun-15,canned beer,3.5,42169
3449,29-Nov-15,soda,6,42337
1959,30-Mar-15,soft cheese,8,42093
4825,17-Jan-15,brown bread,0.8,42021
3289,02-May-15,curd,3,42126
1256,29-Aug-15,herbs,7,42245
3369,23-Mar-15,beef,7,42086
2191,25-Oct-15,whole milk,2,42302
4645,06-Dec-15,hamburger meat,5,42344
3818,08-Aug-15,sugar,15,42224
3857,04-Nov-15,whole milk,2,42312
3651,31-Jul-15,butter milk,1.65,42216
3689,29-Jul-15,whole milk,2,42214
2361,03-Oct-15,other vegetables,5,42280
2513,15-Dec-15,detergent,10,42353
2110,29-Jul-15,tropical fruit,4,42214
4895,21-Jul-15,whole milk,2,42206
2756,31-Jul-15,rolls/buns,1,42216
1960,09-Jan-15,rolls/buns,1,42013
3924,29-Oct-15,root vegetables,7,42306
3020,27-Aug-15,fruit/vegetable juice,10,42243
4531,10-Aug-15,brown bread,0.8,42226
4901,14-Feb-15,whole milk,2,42049
3787,24-Sep-15,pip fruit,3,42271
3688,24-Sep-15,tropical fruit,4,42271
4717,10-Apr-15,yogurt,1.65,42104
2210,25-Sep-15,whole milk,2,42272
4152,29-May-15,white bread,0.4,42153
4507,18-Jun-15,pastry,5,42173
1118,13-May-15,rolls/buns,1,42137
4953,07-May-15,whole milk,2,42131
4417,21-Jan-15,tropical fruit,4,42025
2358,15-Dec-15,chicken,6,42353
3122,05-Feb-15,sausage,1.49,42040
3920,10-May-15,margarine,5,42134
4592,08-Dec-15,pork,8,42346
1326,09-Nov-15,beef,7,42317
3729,29-Nov-15,specialty bar,3,42337
2627,31-Oct-15,other vegetables,5,42308
3393,07-Nov-15,pastry,5,42315
4302,03-Aug-15,instant coffee,8,42219
1734,15-Feb-15,whipped/sour cream,7,42050
3635,26-Feb-15,grapes,7,42061
3232,18-Dec-15,other vegetables,5,42356
2805,18-Apr-15,packaged fruit/vegetables,5,42112
2214,19-Jan-15,red/blush wine,10,42023
4725,02-Dec-15,whole milk,2,42340
4975,02-Nov-15,whole milk,2,42310
3393,23-Feb-15,onions,3,42058
4456,08-Aug-15,coffee,15,42224
4744,29-Aug-15,whole milk,2,42245
1264,30-Jul-15,other vegetables,5,42215
3104,18-May-15,yogurt,1.65,42142
4966,25-Jan-15,packaged fruit/vegetables,5,42029
4183,15-Jan-15,whole milk,2,42019
3786,10-Feb-15,pastry,5,42045
3299,28-Feb-15,bottled water,2,42063
1656,07-Jul-15,dessert,10,42192
4753,05-Mar-15,sugar,15,42068
2857,18-Apr-15,tropical fruit,4,42112
3692,18-Oct-15,processed cheese,12,42295
2613,23-Aug-15,semi-finished bread,2,42239
3509,08-Jul-15,pip fruit,3,42193
3048,06-Oct-15,rolls/buns,1,42283
1160,21-Aug-15,beef,7,42237
2629,26-Apr-15,whole milk,2,42120
1444,06-Jun-15,syrup,5,42161
2578,01-Dec-15,root vegetables,7,42339
4184,28-Jun-15,soda,6,42183
3201,27-Nov-15,berries,6.5,42335
3311,02-May-15,root vegetables,7,42126
4294,08-Jan-15,frozen vegetables,10,42012
2283,18-Jan-15,frozen meals,5,42022
3325,07-Nov-15,root vegetables,7,42315
3621,02-Nov-15,domestic eggs,4,42310
1968,03-Oct-15,whole milk,2,42280
3717,01-Apr-15,yogurt,1.65,42095
4704,18-Aug-15,hamburger meat,5,42234
3904,11-May-15,grapes,7,42135
2336,07-Oct-15,sparkling wine,25,42284
3546,22-Nov-15,other vegetables,5,42330
3797,23-Aug-15,tropical fruit,4,42239
4607,15-Dec-15,margarine,5,42353
4522,18-May-15,soda,6,42142
4695,13-Oct-15,brandy,30,42290
4919,30-Mar-15,hard cheese,14,42093
3289,15-Mar-15,yogurt,1.65,42078
1200,26-Sep-15,dessert,10,42273
3789,06-Sep-15,brandy,30,42253
1289,08-Nov-15,salty snack,5,42316
2415,29-Apr-15,coffee,15,42123
1943,30-Sep-15,whole milk,2,42277
3685,26-Aug-15,soda,6,42242
3447,27-Nov-15,ice cream,15,42335
2164,08-Oct-15,bottled water,2,42285
4107,05-Feb-15,frozen fish,15,42040
2744,19-May-15,soft cheese,8,42143
1051,12-Aug-15,soda,6,42228
2087,09-Apr-15,whole milk,2,42103
1020,13-Oct-15,spices,7,42290
2443,12-Jan-15,root vegetables,7,42016
4911,07-Jan-15,UHT-milk,8,42011
3835,16-Sep-15,whole milk,2,42263
2363,22-May-15,frozen meals,5,42146
2344,19-Apr-15,cream cheese ,18,42113
3911,15-Feb-15,dessert,10,42050
1450,08-Jul-15,bottled beer,30,42193
3495,18-Nov-15,sliced cheese,4,42326
1625,27-Nov-15,rolls/buns,1,42335
3265,09-Dec-15,chocolate,5,42347
3247,01-Nov-15,canned beer,3.5,42309
1777,08-Jul-15,butter milk,1.65,42193
1862,05-Sep-15,butter,1.5,42252
2942,01-Feb-15,brown bread,0.8,42036
2932,22-Jan-15,bottled beer,30,42026
4049,01-Aug-15,specialty chocolate,20,42217
1954,06-Aug-15,canned fish,6,42222
2321,16-Jun-15,domestic eggs,4,42171
2930,23-Mar-15,soda,6,42086
3214,27-Mar-15,canned beer,3.5,42090
4877,20-Jun-15,brown bread,0.8,42175
1277,07-Jun-15,yogurt,1.65,42162
2239,13-Dec-15,popcorn,5,42351
4929,26-Mar-15,bottled beer,30,42089
1390,02-Mar-15,other vegetables,5,42065
1870,09-Sep-15,soda,6,42256
3405,03-Apr-15,other vegetables,5,42097
2338,08-Dec-15,salty snack,5,42346
2051,11-Sep-15,long life bakery product,6,42258
3504,06-Jul-15,frozen meals,5,42191
3405,13-Apr-15,rolls/buns,1,42107
2512,02-Sep-15,pastry,5,42249
4038,06-Nov-15,bottled water,2,42314
1759,26-Sep-15,other vegetables,5,42273
2813,01-Oct-15,whole milk,2,42278
3055,18-Aug-15,other vegetables,5,42234
1733,18-Mar-15,salty snack,5,42081
1913,18-Aug-15,curd,3,42234
4864,27-Mar-15,tropical fruit,4,42090
4812,27-May-15,curd,3,42151
3042,05-Oct-15,UHT-milk,8,42282
4988,04-Oct-15,specialty bar,3,42281
4486,21-Jul-15,pork,8,42206
4069,03-May-15,pastry,5,42127
4600,14-Jul-15,whole milk,2,42199
3588,05-May-15,ketchup,3,42129
4175,29-Jan-15,frozen meals,5,42033
2599,30-Jul-15,nuts/prunes,20,42215
4671,15-Jul-15,root vegetables,7,42200
2270,09-Jun-15,seasonal products,14,42164
2494,05-May-15,soft cheese,8,42129
1406,28-Dec-15,bottled beer,30,42366
3910,18-Dec-15,rolls/buns,1,42356
3358,21-Feb-15,rolls/buns,1,42056
1943,14-Jan-15,cocoa drinks,16,42018
1995,12-Jun-15,root vegetables,7,42167
4666,24-Feb-15,margarine,5,42059
1994,11-Mar-15,whole milk,2,42074
4892,09-Jan-15,pork,8,42013
3531,29-Aug-15,dish cleaner,8,42245
1148,15-Apr-15,whole milk,2,42109
1787,31-Oct-15,whole milk,2,42308
4215,31-May-15,rolls/buns,1,42155
2158,01-Aug-15,whole milk,2,42217
2510,29-Sep-15,whole milk,2,42276
3180,19-Oct-15,rolls/buns,1,42296
3207,08-Aug-15,frozen potato products,2,42224
1226,12-Nov-15,specialty bar,3,42320
1682,25-Jun-15,whipped/sour cream,7,42180
1509,04-Nov-15,UHT-milk,8,42312
2364,21-Jun-15,rolls/buns,1,42176
4679,10-Nov-15,pip fruit,3,42318
4324,05-Jan-15,pastry,5,42009
3497,14-Jun-15,brown bread,0.8,42169
1008,21-Jul-15,yogurt,1.65,42206
4572,29-Oct-15,pastry,5,42306
4030,04-Jul-15,tropical fruit,4,42189
2422,12-Aug-15,tropical fruit,4,42228
2694,24-Nov-15,ham,10,42332
3481,03-Aug-15,root vegetables,7,42219
3821,03-Jan-15,pastry,5,42007
3752,20-Aug-15,sausage,1.49,42236
3262,08-Dec-15,bottled beer,30,42346
1370,28-Jun-15,white bread,0.4,42183
1090,31-Aug-15,specialty chocolate,20,42247
3862,18-Nov-15,dog food,25,42326
4495,08-Apr-15,sparkling wine,25,42102
2492,01-Nov-15,other vegetables,5,42309
4688,01-Aug-15,condensed milk,1.5,42217
3633,14-Jul-15,coffee,15,42199
3709,08-Aug-15,waffles,6,42224
1220,09-Feb-15,napkins,5,42044
4236,25-Nov-15,canned beer,3.5,42333
3308,19-Aug-15,whole milk,2,42235
1183,12-Jun-15,dessert,10,42167
1999,24-Aug-15,ice cream,15,42240
4828,11-Oct-15,canned beer,3.5,42288
3608,12-Oct-15,prosecco,8,42289
3983,09-Sep-15,berries,6.5,42256
3460,24-Jul-15,root vegetables,7,42209
1703,21-Feb-15,tropical fruit,4,42056
3002,13-Aug-15,frozen meals,5,42229
4836,17-Aug-15,ham,10,42233
